"gene_symbol","go_id","go_description","p_adjusted"
"Nme6","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Nme3","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Cmpk1","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Nme4","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Umps","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Upp1","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Nme7","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Cda","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Nme2","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Uck1","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Uckl1","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Upp2","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Nme1","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Uck2","GO:0009220","pyrimidine ribonucleotide biosynthetic process",6.91855875240297e-24
"Rrm2b","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Nme3","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Cmpk1","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Dpys","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Upb1","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Upp1","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Cda","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Rrm1","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Tymp","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Nme2","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Upp2","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Nme1","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Dpyd","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Rrm2","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Dut","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Tk2","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Xdh","GO:0009262","deoxyribonucleotide metabolic process",7.6701571215992e-24
"Nme3","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Hprt1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Umps","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Upp1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Cda","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Nme2","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Tk1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Impdh2","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Uck1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Uckl1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Upp2","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Nme1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Dut","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Uck2","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Tk2","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
